# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      8.14e+01    4.23e+01      4.67e+00    4.20e-01      2.41e+00    1.34e+00    1.0e-03
    100      3.84e+01    4.04e+01      3.93e-03    2.43e-02      1.22e+00    1.28e+00    1.0e-03
    200      4.04e+01    3.95e+01      4.23e-02    1.18e-01      1.28e+00    1.25e+00    1.0e-03
    300      3.37e+01    3.26e+01      1.79e-01    2.44e-01      1.07e+00    1.03e+00    1.0e-03
    400      2.71e+01    2.45e+01      1.72e-01    3.69e-02      8.56e-01    7.76e-01    1.0e-03
    500      2.71e+01    2.58e+01      5.13e-01    3.83e-01      8.51e-01    8.12e-01    1.0e-03
    600      2.37e+01    2.43e+01      2.74e-02    2.32e-01      7.50e-01    7.66e-01    1.0e-03
    700      2.56e+01    2.30e+01      2.24e-01    4.59e-01      8.08e-01    7.21e-01    1.0e-03
    800      2.36e+01    2.54e+01      3.17e-01    1.96e-01      7.45e-01    8.03e-01    1.0e-03
    900      2.06e+01    2.02e+01      6.41e-02    2.94e-01      6.50e-01    6.35e-01    1.0e-03
   1000      2.00e+01    1.99e+01      2.35e-01    5.36e-01      6.30e-01    6.21e-01    1.0e-03
   1100      1.82e+01    1.93e+01      3.32e-02    7.86e-02      5.76e-01    6.10e-01    1.0e-03
   1200      1.83e+01    1.88e+01      6.68e-02    8.60e-02      5.78e-01    5.94e-01    1.0e-03
   1300      1.81e+01    1.74e+01      2.34e-01    2.88e-01      5.70e-01    5.47e-01    1.0e-03
   1400      1.73e+01    1.73e+01      1.07e-01    1.21e-01      5.47e-01    5.47e-01    1.0e-03
   1500      1.80e+01    2.20e+01      2.40e-01    5.62e-01      5.67e-01    6.88e-01    1.0e-03
   1600      1.69e+01    1.70e+01      4.07e-01    2.51e-01      5.27e-01    5.36e-01    1.0e-03
   1700      1.75e+01    1.75e+01      2.63e-01    4.43e-01      5.50e-01    5.48e-01    1.0e-03
