# Time-averaged data for fix co2_dynamics_monitor
# TimeStep v_E_binding v_co2_surf_distance v_coverage v_CO2_height c_coord_avg_short c_coord_avg_medium c_coord_avg_long c_count_molecular c_count_polarized c_count_carbonate
44000 -687.111 9.7839 0.000577701 9.7839 1 1 1 0 0 0
44500 -686.812 11.1675 0.000577701 11.1675 1 1 1 0 0 0
45000 -686.469 12.1515 0.000577701 12.1515 1 1 1 0 0 0
45500 -686.514 13.2521 0.000577701 13.2521 1 1 1 0 0 0
46000 -686.883 14.1325 0.000577701 14.1325 1 1 1 0 0 0
46500 -687.22 15.073 0.000577701 15.073 1 1 1 0 0 0
47000 -687.093 16.2019 0.000577701 16.2019 1 1 1 0 0 0
47500 -686.536 17.0732 0.000577701 17.0732 1 1 1 0 0 0
48000 -686.713 17.7137 0.000577701 17.7137 1 1 1 0 0 0
48500 -687.198 18.577 0.000577701 18.577 1 1 1 0 0 0
49000 -687.067 19.6179 0.000577701 19.6179 1 1 1 0 0 0
49500 -686.55 20.2403 0.000577701 20.2403 1 1 1 0 0 0
50000 -687.076 20.8736 0.000577701 20.8736 1 1 1 0 0 0
50500 -686.954 21.787 0.000577701 21.787 1 1 1 0 0 0
51000 -686.366 22.641 0.000577701 22.641 1 1 1 0 0 0
51500 -686.509 24.2485 0.000577701 24.2485 1 1 1 0 0 0
52000 -685.746 23.2995 0.000577701 23.2995 0 1 1 0 1 0
52500 -686.701 23.7058 0.000577701 23.7058 1 1 1 0 0 0
53000 -685.949 23.8872 0.000577701 23.8872 1 1 1 0 0 0
53500 -686.734 22.9924 0.000577701 22.9924 1 1 1 0 0 0
54000 -685.903 22.8456 0.000577701 22.8456 1 1 1 0 0 0
54500 -686.055 22.6409 0.000577701 22.6409 0 1 1 0 1 0
55000 -686.072 22.6322 0.000577701 22.6322 1 1 1 0 0 0
55500 -685.864 22.4156 0.000577701 22.4156 1 1 1 0 0 0
56000 -685.689 21.0384 0.000577701 21.0384 0 1 1 0 1 0
56500 -686.484 20.1585 0.000577701 20.1585 0 1 1 0 1 0
57000 -684.464 20.2733 0.000577701 20.2733 1 1 1 0 0 0
57500 -687.16 19.9683 0.000577701 19.9683 1 1 1 0 0 0
58000 -686.112 19.6912 0.000577701 19.6912 0 1 1 0 1 0
58500 -685.991 20.3425 0.000577701 20.3425 0 1 1 0 1 0
59000 -685.892 21.9762 0.000577701 21.9762 1 1 1 0 0 0
59500 -685.73 21.0348 0.000577701 21.0348 1 1 1 0 0 0
60000 -685.939 20.0944 0.000577701 20.0944 0 1 1 0 1 0
60500 -686.359 20.7786 0.000577701 20.7786 0 1 1 0 1 0
61000 -685.157 22.437 0.000577701 22.437 1 1 1 0 0 0
61500 -686.973 20.847 0.000577701 20.847 1 1 1 0 0 0
62000 -685.914 21.8094 0.000577701 21.8094 1 1 1 0 0 0
62500 -686.544 20.6634 0.000577701 20.6634 1 1 1 0 0 0
63000 -687.128 19.6022 0.000577701 19.6022 1 1 1 0 0 0
63500 -687.209 19.6439 0.000577701 19.6439 1 1 1 0 0 0
64000 -687.06 19.2557 0.000577701 19.2557 1 1 1 0 0 0
64500 -687.092 19.3423 0.000577701 19.3423 1 1 1 0 0 0
65000 -687.238 19.505 0.000577701 19.505 1 1 1 0 0 0
65500 -687.033 19.4682 0.000577701 19.4682 1 1 1 0 0 0
66000 -686.878 20.3524 0.000577701 20.3524 1 1 1 0 0 0
66500 -687.135 21.016 0.000577701 21.016 1 1 1 0 0 0
67000 -686.441 20.9447 0.000577701 20.9447 1 1 1 0 0 0
67500 -686.451 20.9081 0.000577701 20.9081 1 1 1 0 0 0
68000 -686.183 20.6704 0.000577701 20.6704 0 1 1 0 1 0
68500 -685.017 21.1579 0.000577701 21.1579 1 1 1 0 0 0
69000 -684.657 20.981 0.000577701 20.981 1 1 1 0 0 0
69500 -686.211 20.1573 0.000577701 20.1573 1 1 1 0 0 0
70000 -687.137 20.3431 0.000577701 20.3431 1 1 1 0 0 0
70500 -687.136 20.0753 0.000577701 20.0753 1 1 1 0 0 0
71000 -685.876 20.6486 0.000577701 20.6486 1 1 1 0 0 0
71500 -686.878 20.2915 0.000577701 20.2915 1 1 1 0 0 0
72000 -685.373 20.6728 0.000577701 20.6728 1 1 1 0 0 0
72500 -686.97 19.5557 0.000577701 19.5557 1 1 1 0 0 0
73000 -686.972 19.835 0.000577701 19.835 1 1 1 0 0 0
73500 -687.016 20.2385 0.000577701 20.2385 1 1 1 0 0 0
74000 -687.255 19.5914 0.000577701 19.5914 1 1 1 0 0 0
74500 -686.732 19.8453 0.000577701 19.8453 1 1 1 0 0 0
75000 -687.085 19.2308 0.000577701 19.2308 1 1 1 0 0 0
75500 -687.212 18.6609 0.000577701 18.6609 1 1 1 0 0 0
76000 -687.028 19.4369 0.000577701 19.4369 1 1 1 0 0 0
76500 -687.115 18.7932 0.000577701 18.7932 1 1 1 0 0 0
77000 -687.075 18.5808 0.000577701 18.5808 1 1 1 0 0 0
77500 -687.136 19.2713 0.000577701 19.2713 1 1 1 0 0 0
78000 -686.973 18.1406 0.000577701 18.1406 1 1 1 0 0 0
78500 -685.9 18.3035 0.000577701 18.3035 1 1 1 0 0 0
79000 -686.881 17.6718 0.000577701 17.6718 1 1 1 0 0 0
79500 -687.251 17.1033 0.000577701 17.1033 1 1 1 0 0 0
80000 -687.005 17.5132 0.000577701 17.5132 1 1 1 0 0 0
80500 -686.621 18.2813 0.000577701 18.2813 1 1 1 0 0 0
81000 -687.115 17.6918 0.000577701 17.6918 1 1 1 0 0 0
81500 -686.331 18.2403 0.000577701 18.2403 1 1 1 0 0 0
82000 -687.303 17.5085 0.000577701 17.5085 1 1 1 0 0 0
82500 -687.299 17.8974 0.000577701 17.8974 1 1 1 0 0 0
83000 -687.325 17.0238 0.000577701 17.0238 1 1 1 0 0 0
83500 -686.9 17.0118 0.000577701 17.0118 1 1 1 0 0 0
84000 -686.416 16.9311 0.000577701 16.9311 1 1 1 0 0 0
84500 -686.188 17.0925 0.000577701 17.0925 1 1 1 0 0 0
85000 -687.206 16.4753 0.000577701 16.4753 1 1 1 0 0 0
85500 -687.331 16.2735 0.000577701 16.2735 1 1 1 0 0 0
86000 -687.065 16.7339 0.000577701 16.7339 1 1 1 0 0 0
86500 -686.996 16.6584 0.000577701 16.6584 1 1 1 0 0 0
87000 -687.341 16.1753 0.000577701 16.1753 1 1 1 0 0 0
87500 -687.135 16.3276 0.000577701 16.3276 1 1 1 0 0 0
88000 -686.654 16.2983 0.000577701 16.2983 1 1 1 0 0 0
88500 -687.253 15.8347 0.000577701 15.8347 1 1 1 0 0 0
