# Time-averaged data for fix orient_output
# TimeStep Number-of-rows
# Row c_orient_CO2
43900 6
1 6.31089e-31
2 0
3 1.00974e-29
4 0
5 -1.26218e-30
6 0
44000 6
1 6.31089e-31
2 0
3 2.01948e-29
4 0
5 0
6 0
44100 6
1 9.46633e-31
2 0
3 2.01948e-29
4 0
5 0
6 0
44200 6
1 9.46633e-31
2 0
3 1.00974e-29
4 0
5 1.26218e-30
6 0
44300 6
1 9.46633e-31
2 0
3 5.04871e-30
4 0
5 0
6 0
44400 6
1 9.46633e-31
2 0
3 5.04871e-30
4 0
5 0
6 0
44500 6
1 6.31089e-31
2 0
3 1.51461e-29
4 0
5 1.26218e-30
6 0
44600 6
1 6.31089e-31
2 0
3 5.04871e-30
4 0
5 0
6 0
44700 6
1 9.46633e-31
2 0
3 5.04871e-30
4 0
5 0
6 0
44800 6
1 6.31089e-31
2 0
3 3.02923e-29
4 0
5 -2.52435e-30
6 0
44900 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
45000 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
45100 6
1 6.31089e-31
2 0
3 2.01948e-29
4 0
5 2.52435e-30
6 0
45200 6
1 9.46633e-31
2 0
3 1.00974e-29
4 0
5 -1.26218e-30
6 0
45300 6
1 9.46633e-31
2 0
3 5.04871e-30
4 0
5 -1.26218e-30
6 0
45400 6
1 6.31089e-31
2 0
3 1.00974e-29
4 0
5 0
6 0
45500 6
1 9.46633e-31
2 0
3 1.51461e-29
4 0
5 0
6 0
45600 6
1 9.46633e-31
2 0
3 1.00974e-29
4 0
5 0
6 0
45700 6
1 6.31089e-31
2 0
3 1.51461e-29
4 0
5 0
6 0
45800 6
1 9.46633e-31
2 0
3 1.51461e-29
4 0
5 1.26218e-30
6 0
45900 6
1 9.46633e-31
2 0
3 1.00974e-29
4 0
5 1.26218e-30
6 0
46000 6
1 6.31089e-31
2 0
3 1.00974e-29
4 0
5 1.26218e-30
6 0
46100 6
1 1.26218e-30
2 0
3 0
4 0
5 0
6 0
46200 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
46300 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
46400 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
46500 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
46600 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
46700 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
46800 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
46900 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
47000 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
47100 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
47200 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
47300 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
47400 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
47500 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
47600 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
47700 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
47800 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
47900 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
48000 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
48100 6
1 1.26218e-30
2 0
3 0
4 0
5 0
6 0
48200 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
48300 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
48400 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
48500 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
48600 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
48700 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
48800 6
1 1.26218e-30
2 0
3 0
4 0
5 0
6 0
48900 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
49000 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
49100 6
1 1.26218e-30
2 0
3 0
4 0
5 0
6 0
49200 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
49300 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
49400 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
49500 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
49600 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
49700 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
49800 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
49900 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
50000 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
50100 6
1 1.26218e-30
2 0
3 0
4 0
5 0
6 0
50200 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
50300 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
50400 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
50500 6
1 1.26218e-30
2 0
3 0
4 0
5 0
6 0
50600 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
50700 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
50800 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
50900 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
51000 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
51100 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
51200 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
51300 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
51400 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
51500 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
51600 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
51700 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
51800 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
51900 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52000 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52100 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52200 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52300 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52400 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52500 6
1 3.15544e-31
2 0
3 0
4 0
5 0
6 0
52600 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52700 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
52800 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
52900 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
53000 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
53100 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
53200 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
53300 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
53400 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
53500 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
53600 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
53700 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
53800 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
53900 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
54000 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
54100 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
54200 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
54300 6
1 3.15544e-31
2 0
3 0
4 0
5 0
6 0
54400 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
54500 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
54600 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
54700 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
54800 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
54900 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
55000 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
55100 6
1 6.31089e-31
2 0
3 0
4 0
5 0
6 0
55200 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
55300 6
1 9.46633e-31
2 0
3 0
4 0
5 0
6 0
55400 6
