# Time-averaged data for fix detailed_timeseries
# TimeStep v_E_binding v_co2_surf_distance v_coverage v_CO2_height v_E_interaction v_E_HAP_kcal v_E_CO2_kcal v_temp_current v_press_current
44000 -687.111 9.7839 0.000577701 9.7839 687.111 -1.92036e+07 -15905.7 469.215 23232.1
45000 -686.469 12.1515 0.000577701 12.1515 686.469 -1.9203e+07 -15906 451.953 24445.8
46000 -686.883 14.1325 0.000577701 14.1325 686.883 -1.92025e+07 -15906.9 476.619 20223.4
47000 -687.093 16.2019 0.000577701 16.2019 687.093 -1.9202e+07 -15907.7 470.314 16137.8
48000 -686.713 17.7137 0.000577701 17.7137 686.713 -1.92014e+07 -15908.4 462.827 11392.3
49000 -687.067 19.6179 0.000577701 19.6179 687.067 -1.9201e+07 -15909.4 453.841 6568.09
50000 -687.076 20.8736 0.000577701 20.8736 687.076 -1.92005e+07 -15909.8 438.478 4313.17
51000 -686.366 22.641 0.000577701 22.641 686.366 -1.91999e+07 -15901.3 432.355 1968.89
52000 -685.746 23.2995 0.000577701 23.2995 685.746 -1.91994e+07 -15863.3 436.963 -929.943
53000 -685.949 23.8872 0.000577701 23.8872 685.949 -1.91986e+07 -15893 431.772 -1951.18
54000 -685.903 22.8456 0.000577701 22.8456 685.903 -1.9198e+07 -15859.3 421.949 -1762.51
55000 -686.072 22.6322 0.000577701 22.6322 686.072 -1.91974e+07 -15877.7 407.738 -4824.57
56000 -685.689 21.0384 0.000577701 21.0384 685.689 -1.91969e+07 -15860.4 379.943 -7211.65
57000 -684.464 20.2733 0.000577701 20.2733 684.464 -1.91963e+07 -15846 384.323 -9034.71
58000 -686.112 19.6912 0.000577701 19.6912 686.112 -1.91959e+07 -15868.7 367.396 -9097.93
59000 -685.892 21.9762 0.000577701 21.9762 685.892 -1.91954e+07 -15870.4 392.623 -8326
60000 -685.939 20.0944 0.000577701 20.0944 685.939 -1.91949e+07 -15859.3 384.678 -8492.98
61000 -685.157 22.437 0.000577701 22.437 685.157 -1.91943e+07 -15835 385.385 -5209
62000 -685.914 21.8094 0.000577701 21.8094 685.914 -1.91938e+07 -15864.1 419.002 -10228
63000 -687.128 19.6022 0.000577701 19.6022 687.128 -1.91934e+07 -15913.5 427.118 -7790.24
64000 -687.06 19.2557 0.000577701 19.2557 687.06 -1.91931e+07 -15915.8 430.961 -6151.66
65000 -687.238 19.505 0.000577701 19.505 687.238 -1.91926e+07 -15915.9 443.213 -6385.39
66000 -686.878 20.3524 0.000577701 20.3524 686.878 -1.91921e+07 -15912.8 426.138 -5834.67
67000 -686.441 20.9447 0.000577701 20.9447 686.441 -1.91918e+07 -15897.7 428.094 -2920.75
68000 -686.183 20.6704 0.000577701 20.6704 686.183 -1.91913e+07 -15879.7 438.688 -6851.01
69000 -684.657 20.981 0.000577701 20.981 684.657 -1.91909e+07 -15867.9 440.354 -6098.21
70000 -687.137 20.3431 0.000577701 20.3431 687.137 -1.91906e+07 -15891.1 461.376 -6456.13
71000 -685.876 20.6486 0.000577701 20.6486 685.876 -1.91901e+07 -15869.7 461.86 -7306.42
72000 -685.373 20.6728 0.000577701 20.6728 685.373 -1.91898e+07 -15872.9 467.476 -7118.92
73000 -686.972 19.835 0.000577701 19.835 686.972 -1.91895e+07 -15915.3 472.528 -6530.27
74000 -687.255 19.5914 0.000577701 19.5914 687.255 -1.91891e+07 -15902.5 500.578 -7424.81
75000 -687.085 19.2308 0.000577701 19.2308 687.085 -1.91888e+07 -15915.1 472.173 -10004.7
76000 -687.028 19.4369 0.000577701 19.4369 687.028 -1.91886e+07 -15868.6 473.715 -13269.7
77000 -687.075 18.5808 0.000577701 18.5808 687.075 -1.91883e+07 -15905.4 496.022 -14045.7
78000 -686.973 18.1406 0.000577701 18.1406 686.973 -1.9188e+07 -15914.6 478.512 -16222.9
79000 -686.881 17.6718 0.000577701 17.6718 686.881 -1.91878e+07 -15915.1 484.157 -18347.4
80000 -687.005 17.5132 0.000577701 17.5132 687.005 -1.91874e+07 -15919.6 522.346 -17374
81000 -687.115 17.6918 0.000577701 17.6918 687.115 -1.91873e+07 -15918.3 503.598 -17521.6
82000 -687.303 17.5085 0.000577701 17.5085 687.303 -1.91871e+07 -15920.5 522.202 -18545.5
83000 -687.325 17.0238 0.000577701 17.0238 687.325 -1.91868e+07 -15921.9 534.202 -19266.7
84000 -686.416 16.9311 0.000577701 16.9311 686.416 -1.91866e+07 -15904.4 520.078 -21778.2
85000 -687.206 16.4753 0.000577701 16.4753 687.206 -1.91863e+07 -15921.7 537.805 -18432.4
86000 -687.065 16.7339 0.000577701 16.7339 687.065 -1.91861e+07 -15915.2 549.966 -18688.8
87000 -687.341 16.1753 0.000577701 16.1753 687.341 -1.9186e+07 -15927.9 578.916 -16396.1
88000 -686.654 16.2983 0.000577701 16.2983 686.654 -1.91859e+07 -15910.4 585.835 -15907.6
89000 -686.64 16.6039 0.000577701 16.6039 686.64 -1.91857e+07 -15891.2 571.174 -16511.9
90000 -686.976 16.2931 0.000577701 16.2931 686.976 -1.91854e+07 -15907.8 632.473 -19019
91000 -686.956 15.406 0.000577701 15.406 686.956 -1.91853e+07 -15908.5 602.974 -21436.5
92000 -686.179 15.4116 0.000577701 15.4116 686.179 -1.91852e+07 -15898.3 586.454 -16159.7
93000 -687.134 14.8882 0.000577701 14.8882 687.134 -1.91851e+07 -15918.7 596.718 -19698.2
