# Time-averaged data for fix energy_time
# TimeStep v_pe_inst
43900 -832838
44000 -832840
44100 -832841
44200 -832831
44300 -832828
44400 -832832
44500 -832824
44600 -832821
44700 -832814
44800 -832809
44900 -832807
45000 -832812
45100 -832811
45200 -832814
45300 -832804
45400 -832801
45500 -832797
45600 -832797
45700 -832804
45800 -832796
45900 -832792
46000 -832796
46100 -832792
46200 -832790
46300 -832784
46400 -832783
46500 -832783
46600 -832782
46700 -832781
46800 -832775
46900 -832770
47000 -832771
47100 -832771
47200 -832768
47300 -832760
47400 -832763
47500 -832766
47600 -832756
47700 -832757
47800 -832753
47900 -832751
48000 -832746
48100 -832747
48200 -832741
48300 -832736
48400 -832735
48500 -832742
48600 -832735
48700 -832734
48800 -832729
48900 -832729
49000 -832726
49100 -832720
49200 -832719
49300 -832715
49400 -832716
49500 -832719
49600 -832711
49700 -832708
49800 -832707
49900 -832710
50000 -832701
50100 -832699
50200 -832699
50300 -832693
50400 -832694
50500 -832696
50600 -832690
50700 -832685
50800 -832687
50900 -832682
51000 -832672
51100 -832672
51200 -832674
51300 -832665
51400 -832666
51500 -832659
51600 -832659
51700 -832658
51800 -832656
51900 -832651
52000 -832651
52100 -832649
52200 -832652
52300 -832643
52400 -832636
52500 -832636
52600 -832629
52700 -832623
52800 -832620
52900 -832616
53000 -832619
53100 -832614
53200 -832615
53300 -832607
53400 -832608
53500 -832604
53600 -832599
53700 -832593
53800 -832593
53900 -832593
54000 -832588
54100 -832581
54200 -832582
54300 -832574
54400 -832574
54500 -832571
54600 -832567
54700 -832561
54800 -832560
54900 -832559
55000 -832559
55100 -832553
55200 -832548
55300 -832548
55400 -832544
55500 -832540
55600 -832537
55700 -832536
55800 -832535
55900 -832530
56000 -832528
56100 -832530
56200 -832528
56300 -832522
56400 -832523
56500 -832523
56600 -832518
56700 -832517
56800 -832521
56900 -832508
57000 -832508
57100 -832509
57200 -832502
57300 -832499
57400 -832498
57500 -832500
57600 -832500
57700 -832492
57800 -832490
57900 -832480
58000 -832484
58100 -832485
58200 -832482
58300 -832482
58400 -832482
58500 -832472
58600 -832473
58700 -832471
58800 -832469
58900 -832467
59000 -832467
59100 -832464
59200 -832461
59300 -832465
59400 -832458
59500 -832461
59600 -832455
59700 -832446
59800 -832455
59900 -832448
60000 -832442
60100 -832446
60200 -832444
60300 -832445
60400 -832445
60500 -832439
60600 -832442
60700 -832437
60800 -832433
60900 -832426
61000 -832418
61100 -832425
61200 -832421
61300 -832423
61400 -832420
61500 -832415
61600 -832414
61700 -832413
61800 -832410
61900 -832412
62000 -832405
62100 -832407
62200 -832406
62300 -832401
62400 -832404
62500 -832402
62600 -832396
62700 -832401
62800 -832397
62900 -832396
63000 -832389
63100 -832387
63200 -832388
63300 -832382
63400 -832379
63500 -832379
63600 -832376
63700 -832372
63800 -832374
63900 -832375
64000 -832377
64100 -832374
64200 -832371
64300 -832373
64400 -832362
64500 -832367
64600 -832357
64700 -832358
