# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
1 8.62021e-07 2.89545e-07
2 6.85818e-07 9.76366e-10
3 0.0143774 0.0452197
4 0.0143789 0.04522
44000 4
1 4.65196e-06 1.56266e-06
2 3.70114e-06 5.2694e-09
3 0.0274559 0.328554
4 0.0274643 0.328556
44100 4
1 1.14598e-05 3.85021e-06
2 9.1171e-06 1.29832e-08
3 0.034763 0.639126
4 0.0347835 0.63913
44200 4
1 2.12849e-05 7.15219e-06
2 1.69332e-05 2.41177e-08
3 0.0406324 0.807894
4 0.0406706 0.807901
44300 4
1 3.41282e-05 1.14686e-05
2 2.71501e-05 3.8673e-08
3 0.0561009 1.1961
4 0.0561622 1.19611
44400 4
1 4.99896e-05 1.67995e-05
2 3.97681e-05 5.6649e-08
3 0.0683854 2.06019
4 0.0684751 2.06021
44500 4
1 6.88692e-05 2.31447e-05
2 5.47871e-05 7.80457e-08
3 0.0802837 3.02201
4 0.0804073 3.02203
44600 4
1 9.07671e-05 3.05045e-05
2 7.22071e-05 1.02863e-07
3 0.0909895 3.4748
4 0.0911525 3.47483
44700 4
1 0.000115683 3.88786e-05
2 9.2028e-05 1.31101e-07
3 0.104664 3.99279
4 0.104871 3.99283
44800 4
1 0.000143617 4.82672e-05
2 0.00011425 1.6276e-07
3 0.0943583 5.2466
4 0.0946162 5.24665
44900 4
1 0.00017457 5.86702e-05
2 0.000138873 1.9784e-07
3 0.0974007 6.95827
4 0.0977142 6.95833
45000 4
1 0.000208541 7.00877e-05
2 0.000165897 2.36341e-07
3 0.0967019 7.94906
4 0.0970763 7.94913
45100 4
1 0.00024553 8.25196e-05
2 0.000195322 2.78262e-07
3 0.0929006 8.5271
4 0.0933414 8.52719
45200 4
1 0.000285537 9.59659e-05
2 0.000227148 3.23604e-07
3 0.0927462 9.95957
4 0.0932589 9.95967
45300 4
1 0.000328562 0.000110427
2 0.000261375 3.72367e-07
3 0.0935949 12.318
4 0.0941848 12.3181
45400 4
1 0.000374606 0.000125902
2 0.000298003 4.2455e-07
3 0.0879396 14.0657
4 0.0886122 14.0658
45500 4
1 0.000423667 0.000142391
2 0.000337032 4.80154e-07
3 0.0849734 14.7837
4 0.0857341 14.7839
45600 4
1 0.000475747 0.000159896
2 0.000378462 5.39179e-07
3 0.0973999 16.2454
4 0.0982541 16.2456
45700 4
1 0.000530846 0.000178414
2 0.000422293 6.01625e-07
3 0.094659 19.0704
4 0.0956121 19.0706
45800 4
1 0.000588962 0.000197947
2 0.000468525 6.67491e-07
3 0.0983014 21.667
4 0.0993589 21.6672
45900 4
1 0.000650097 0.000218494
2 0.000517158 7.36779e-07
3 0.100334 22.68
4 0.101501 22.6802
46000 4
1 0.000714249 0.000240056
2 0.000568192 8.09486e-07
3 0.101639 24.1045
4 0.102921 24.1047
46100 4
1 0.00078142 0.000262632
2 0.000621627 8.85615e-07
3 0.107516 27.2412
4 0.108919 27.2414
46200 4
1 0.00085161 0.000286223
2 0.000677463 9.65165e-07
3 0.111792 30.6625
4 0.113321 30.6628
46300 4
1 0.000924817 0.000310828
2 0.0007357 1.04813e-06
3 0.113262 32.1137
4 0.114923 32.114
46400 4
1 0.00100104 0.000336448
2 0.000796338 1.13453e-06
3 0.119374 33.5001
4 0.121171 33.5005
46500 4
1 0.00108029 0.000363082
2 0.000859378 1.22434e-06
3 0.12193 36.8569
4 0.12387 36.8573
46600 4
1 0.00116255 0.00039073
2 0.000924818 1.31757e-06
3 0.126971 41.0209
4 0.129058 41.0213
46700 4
1 0.00124783 0.000419393
2 0.000992659 1.41422e-06
3 0.133128 42.9889
4 0.135369 42.9893
46800 4
1 0.00133613 0.00044907
2 0.0010629 1.5143e-06
3 0.140813 44.3734
4 0.143212 44.3738
46900 4
1 0.00142744 0.000479762
2 0.00113554 1.61779e-06
3 0.15278 47.9204
4 0.155343 47.9209
47000 4
1 0.00152178 0.000511468
2 0.00121059 1.72471e-06
3 0.146932 52.7403
4 0.149664 52.7408
47100 4
1 0.00161913 0.000544189
2 0.00128803 1.83504e-06
3 0.168653 55.2248
4 0.171561 55.2254
47200 4
1 0.0017195 0.000577924
2 0.00136788 1.9488e-06
3 0.181627 56.652
4 0.184715 56.6526
47300 4
1 0.00182289 0.000612673
2 0.00145013 2.06598e-06
3 0.194686 60.4102
4 0.197959 60.4108
47400 4
1 0.0019293 0.000648437
2 0.00153477 2.18658e-06
3 0.20472 65.8202
4 0.208185 65.8209
47500 4
1 0.00203873 0.000685215
2 0.00162182 2.31059e-06
3 0.211175 68.7519
4 0.214835 68.7525
47600 4
1 0.00215117 0.000723008
2 0.00171127 2.43803e-06
3 0.23309 70.2603
4 0.236952 70.261
47700 4
1 0.00226663 0.000761815
2 0.00180312 2.5689e-06
3 0.252001 74.2931
4 0.256071 74.2939
47800 4
1 0.00238511 0.000801637
2 0.00189738 2.70318e-06
3 0.269082 80.2513
4 0.273365 80.2521
47900 4
1 0.00250661 0.000842473
2 0.00199403 2.84088e-06
3 0.281584 83.5053
4 0.286085 83.5062
48000 4
1 0.00263113 0.000884323
2 0.00209308 2.982e-06
3 0.304338 85.1287
4 0.309063 85.1296
48100 4
1 0.00275867 0.000927188
2 0.00219454 3.12655e-06
3 0.317443 89.5361
4 0.322397 89.537
48200 4
1 0.00288922 0.000971068
2 0.0022984 3.27451e-06
3 0.343626 96.0109
4 0.348813 96.0118
48300 4
