# Time-averaged data for fix rdf_PO_save
# TimeStep Number-of-rows
# Row c_rdf_PO[1] c_rdf_PO[2] c_rdf_PO[3]
44000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0.393048 0.0185185
23 1.35 1.04533 0.0724537
24 1.41 3.0067 0.241667
25 1.47 9.63438 0.831019
26 1.53 16.1421 1.90069
27 1.59 12.8669 2.82153
28 1.65 5.4245 3.23958
29 1.71 2.92523 3.48171
30 1.77 1.71226 3.63356
31 1.83 1.08659 3.73657
32 1.89 0.787514 3.8162
33 1.95 0.182787 3.83588
34 2.01 0.105265 3.84792
35 2.07 0.0915935 3.85903
36 2.13 0.106342 3.87269
37 2.19 0.0409318 3.87824
38 2.25 0.0775481 3.88935
39 2.31 0.0474945 3.89653
40 2.37 0.0494963 3.9044
41 2.43 0.0318656 3.90972
42 2.49 0.0290194 3.91481
43 2.55 0.00377184 3.91551
44 2.61 0.017997 3.91898
45 2.67 0.0711375 3.93333
46 2.73 0.0855765 3.95139
47 2.79 0.0798456 3.96898
48 2.85 0.0332263 3.97662
49 2.91 0.160304 4.01505
50 2.97 0.203967 4.06597
51 3.03 0.257452 4.13287
52 3.09 0.463368 4.2581
53 3.15 0.457428 4.38657
54 3.21 0.626979 4.56944
55 3.27 0.720446 4.7875
56 3.33 0.868754 5.06019
57 3.39 0.840449 5.33356
58 3.45 1.03405 5.68194
59 3.51 0.978417 6.02315
60 3.57 1.27822 6.48426
61 3.63 1.47399 7.03403
62 3.69 1.64873 7.66944
63 3.75 1.71438 8.35185
64 3.81 1.73408 9.06435
65 3.87 2.00889 9.91597
66 3.93 1.90568 10.7491
67 3.99 1.95049 11.628
68 4.05 1.52119 12.3343
69 4.11 1.79617 13.1931
70 4.17 1.57404 13.9678
71 4.23 1.78758 14.8731
72 4.29 1.58547 15.6991
73 4.35 1.91939 16.7271
74 4.41 1.63285 17.6259
75 4.47 1.66214 18.566
76 4.53 1.27126 19.3044
77 4.59 1.29574 20.0771
78 4.65 1.0193 20.7009
79 4.71 0.997552 21.3273
80 4.77 1.00213 21.9727
81 4.83 0.840971 22.528
82 4.89 0.74283 23.0308
83 4.95 0.636495 23.4722
84 5.01 0.639599 23.9266
85 5.07 0.634081 24.388
86 5.13 0.779067 24.9683
87 5.19 0.894753 25.6505
88 5.25 1.05898 26.4766
89 5.31 1.27734 27.4961
90 5.37 1.3508 28.5986
91 5.43 1.40763 29.7734
92 5.49 1.66275 31.1919
93 5.55 1.58717 32.5757
94 5.61 1.95747 34.3194
95 5.67 1.95977 36.1028
96 5.73 1.79543 37.7713
97 5.79 1.79447 39.4741
98 5.85 1.74018 41.1597
99 5.91 1.72725 42.8674
100 5.97 1.47841 44.3588
44100 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0.320474 0.0150463
23 1.35 0.96328 0.0645833
24 1.41 2.54176 0.207176
25 1.47 10.3493 0.838194
26 1.53 16.1635 1.90579
27 1.59 12.3383 2.78588
28 1.65 6.30453 3.27014
29 1.71 2.84228 3.50463
30 1.77 1.33553 3.62269
31 1.83 1.23978 3.73981
32 1.89 0.705086 3.81088
33 1.95 0.327983 3.84606
34 2.01 0.0101399 3.84722
35 2.07 0.086179 3.85764
36 2.13 0.142891 3.87593
37 2.19 0.0821042 3.88704
38 2.25 0.0777658 3.89815
39 2.31 0 3.89815
40 2.37 0 3.89815
41 2.43 0.020824 3.90162
42 2.49 0.0621946 3.9125
43 2.55 0.0164122 3.91551
