# Time-averaged data for fix system_stability
# TimeStep v_temp_current v_press_current v_vol_current c_temp_mobile_prod c_temp_system_prod
44000 469.215 23232.1 26920.4 504.743 469.215
45000 451.953 24445.8 28262.7 485.646 451.953
46000 476.619 20223.4 29642.4 516.725 476.619
47000 470.314 16137.8 30863 516.956 470.314
48000 462.827 11392.3 32179.3 494.356 462.827
49000 453.841 6568.09 33335.4 492.771 453.841
50000 438.478 4313.17 34579.1 479.334 438.478
51000 432.355 1968.89 35838.5 456.908 432.355
52000 436.963 -929.943 36667.5 476.293 436.963
53000 431.772 -1951.18 36674.8 467.109 431.772
54000 421.949 -1762.51 36597.6 445.056 421.949
55000 407.738 -4824.57 36633.4 446.394 407.738
56000 379.943 -7211.65 36654.9 405.917 379.943
57000 384.323 -9034.71 36809 404.616 384.323
58000 367.396 -9097.93 36619 403.189 367.396
59000 392.623 -8326 36631.1 416.001 392.623
60000 384.678 -8492.98 36705.8 405.836 384.678
61000 385.385 -5209 36644.6 420.756 385.385
62000 419.002 -10228 36648.5 441.373 419.002
63000 427.118 -7790.24 35897.8 455.502 427.118
64000 430.961 -6151.66 35658 469.416 430.961
65000 443.213 -6385.39 35627.4 465.896 443.213
66000 426.138 -5834.67 35938.8 455.149 426.138
67000 428.094 -2920.75 36492.6 463.373 428.094
68000 438.688 -6851.01 36649.1 460.063 438.688
69000 440.354 -6098.21 36548.8 471.375 440.354
70000 461.376 -6456.13 36551.7 499.835 461.376
71000 461.86 -7306.42 36685.8 488.299 461.86
72000 467.476 -7118.92 36777.5 501.614 467.476
73000 472.528 -6530.27 36163.5 512.007 472.528
74000 500.578 -7424.81 36452.2 535.233 500.578
75000 472.173 -10004.7 36265.2 505.875 472.173
76000 473.715 -13269.7 36732 512.928 473.715
77000 496.022 -14045.7 36543.6 531.256 496.022
78000 478.512 -16222.9 36402.5 511.754 478.512
79000 484.157 -18347.4 36405 523.934 484.157
80000 522.346 -17374 36318.5 559.844 522.346
81000 503.598 -17521.6 36378.8 539.086 503.598
82000 522.202 -18545.5 36349.4 565.596 522.202
83000 534.202 -19266.7 36326.9 571.454 534.202
84000 520.078 -21778.2 36573.2 557.064 520.078
85000 537.805 -18432.4 36351.3 580.86 537.805
86000 549.966 -18688.8 36415.3 589.684 549.966
87000 578.916 -16396.1 36219.9 624.937 578.916
88000 585.835 -15907.6 36597.1 632.695 585.835
89000 571.174 -16511.9 36790.7 615.402 571.174
90000 632.473 -19019 36797.5 687.642 632.473
91000 602.974 -21436.5 36539 649.352 602.974
92000 586.454 -16159.7 36857.4 636.031 586.454
93000 596.718 -19698.2 36508.7 648.467 596.718
