# Time-averaged data for fix adsorption_analysis
# TimeStep c_avg_site_ca c_avg_site_p c_avg_site_o c_avg_site_h c_count_strong_sites c_count_medium_sites c_count_weak_sites
43900 0 0 2 0 0 0 1
44000 0 0 2 0 0 0 1
44100 0 0 2 0 0 0 1
44200 0 0 2 0 0 0 1
44300 0 0 2 0 0 0 1
44400 0 0 2 0 0 0 1
44500 0 0 2 0 0 0 1
44600 0 0 2 0 0 0 1
44700 0 0 2 0 0 0 1
44800 0 0 2 0 0 0 1
44900 0 0 2 0 0 0 1
45000 0 0 2 0 0 0 1
45100 0 0 2 0 0 0 1
45200 0 0 2 0 0 0 1
45300 0 0 2 0 0 0 1
45400 0 0 2 0 0 0 1
45500 0 0 2 0 0 0 1
45600 0 0 2 0 0 0 1
45700 0 0 2 0 0 0 1
45800 0 0 2 0 0 0 1
45900 0 0 2 0 0 0 1
46000 0 0 2 0 0 0 1
46100 0 0 2 0 0 0 1
46200 0 0 2 0 0 0 1
46300 0 0 2 0 0 0 1
46400 0 0 2 0 0 0 1
46500 0 0 2 0 0 0 1
46600 0 0 2 0 0 0 1
46700 0 0 2 0 0 0 1
46800 0 0 2 0 0 0 1
46900 0 0 2 0 0 0 1
47000 0 0 2 0 0 0 1
47100 0 0 2 0 0 0 1
47200 0 0 2 0 0 0 1
47300 0 0 2 0 0 0 1
47400 0 0 2 0 0 0 1
47500 0 0 2 0 0 0 1
47600 0 0 2 0 0 0 1
47700 0 0 2 0 0 0 1
47800 0 0 2 0 0 0 1
47900 0 0 2 0 0 0 1
48000 0 0 2 0 0 0 1
48100 0 0 2 0 0 0 1
48200 0 0 2 0 0 0 1
48300 0 0 2 0 0 0 1
48400 0 0 2 0 0 0 1
48500 0 0 2 0 0 0 1
48600 0 0 2 0 0 0 1
48700 0 0 2 0 0 0 1
48800 0 0 2 0 0 0 1
48900 0 0 2 0 0 0 1
49000 0 0 2 0 0 0 1
49100 0 0 2 0 0 0 1
49200 0 0 2 0 0 0 1
49300 0 0 2 0 0 0 1
49400 0 0 2 0 0 0 1
49500 0 0 2 0 0 0 1
49600 0 0 2 0 0 0 1
49700 0 0 2 0 0 0 1
49800 0 0 2 0 0 0 1
49900 0 0 2 0 0 0 1
50000 0 0 2 0 0 0 1
50100 0 0 2 0 0 0 1
50200 0 0 2 0 0 0 1
50300 0 0 2 0 0 0 1
50400 0 0 2 0 0 0 1
50500 0 0 2 0 0 0 1
50600 0 0 2 0 0 0 1
50700 0 0 2 0 0 0 1
50800 0 0 2 0 0 0 1
50900 0 0 2 0 0 0 1
51000 0 0 2 0 0 0 1
51100 0 0 2 0 0 0 1
51200 0 0 2 0 0 0 1
51300 0 0 2 0 0 0 1
51400 0 0 2 0 0 0 1
51500 0 0 2 0 0 0 1
51600 0 0 2 0 0 0 1
51700 0 0 2 0 0 0 1
