# Time-averaged data for fix thermodynamic_data
# TimeStep c_pe_total c_ke_total v_E_total v_E_interaction v_E_HAP v_E_CO2 v_E_binding v_E_interaction_kcal v_E_HAP_kcal v_E_CO2_kcal v_E_binding_kcal v_temp_current v_press_current v_vol_current v_coverage v_CO2_height c_temp_mobile_prod c_temp_system_prod
43900 -838429 363.135 -838066 1391.97 -838067 -1390.61 -1391.97 32100.1 -1.93266e+07 -32068.8 -32100.1 1623.89 5944.06 114341 0.000577701 -0.750512 1832.55 1623.89
44000 -838451 384.682 -838066 1391.63 -838068 -1389.41 -1391.63 32092.1 -1.93266e+07 -32041 -32092.1 1720.25 6148.28 114487 0.000577701 -0.5906 1977.19 1720.25
44100 -838446 375.81 -838070 1389.3 -838071 -1388.63 -1389.3 32038.6 -1.93267e+07 -32023.1 -32038.6 1680.57 5105.01 114473 0.000577701 -0.911129 1908.19 1680.57
44200 -838449 386.2 -838062 1390.15 -838063 -1389.19 -1390.15 32058.1 -1.93265e+07 -32035.9 -32058.1 1727.04 4441.31 114484 0.000577701 -1.09168 1969.03 1727.04
44300 -838447 384.246 -838063 1389.56 -838064 -1388.67 -1389.56 32044.6 -1.93265e+07 -32024 -32044.6 1718.3 5229.87 114623 0.000577701 -1.11779 2000.56 1718.3
44400 -838440 372.816 -838067 1391.25 -838069 -1389.06 -1391.25 32083.6 -1.93266e+07 -32033 -32083.6 1667.19 5392.27 114448 0.000577701 -0.724111 1903.12 1667.19
44500 -838443 374.123 -838069 1391.81 -838071 -1389.64 -1391.81 32096.4 -1.93267e+07 -32046.3 -32096.4 1673.03 5894.6 114411 0.000577701 -0.745345 1923.22 1673.03
44600 -838427 355.89 -838071 1391.47 -838072 -1390.3 -1391.47 32088.5 -1.93267e+07 -32061.7 -32088.5 1591.5 5293.98 114491 0.000577701 -1.26629 1847.81 1591.5
44700 -838427 360.852 -838066 1392.37 -838068 -1390.87 -1392.37 32109.2 -1.93266e+07 -32074.7 -32109.2 1613.68 4030.3 114259 0.000577701 -1.08737 1827.05 1613.68
44800 -838436 368.664 -838067 1390.78 -838067 -1390.39 -1390.78 32072.7 -1.93266e+07 -32063.6 -32072.7 1648.62 5882.46 114346 0.000577701 -1.06754 1904.84 1648.62
44900 -838454 380.53 -838073 1390.26 -838073 -1390.32 -1390.26 32060.7 -1.93267e+07 -32061.9 -32060.7 1701.68 5922.48 114622 0.000577701 -1.18796 1965.2 1701.68
45000 -838445 381.761 -838063 1392.52 -838065 -1391.18 -1392.52 32112.7 -1.93265e+07 -32082 -32112.7 1707.19 7131.31 114402 0.000577701 -1.00078 1954 1707.19
45100 -838434 370.055 -838064 1391.33 -838064 -1390.8 -1391.33 32085.3 -1.93265e+07 -32073 -32085.3 1654.84 7235.1 114572 0.000577701 -1.35293 1907.62 1654.84
45200 -838432 367.855 -838065 1393.44 -838067 -1390.64 -1393.44 32133.9 -1.93266e+07 -32069.3 -32133.9 1645 8545.72 114589 0.000577701 -1.02247 1894.85 1645
45300 -838443 366.691 -838076 1393.24 -838077 -1392.64 -1393.24 32129.4 -1.93268e+07 -32115.5 -32129.4 1639.79 7277.84 114444 0.000577701 -0.852471 1886.71 1639.79
45400 -838437 368.462 -838069 1393.1 -838072 -1390.03 -1393.1 32126.2 -1.93267e+07 -32055.2 -32126.2 1647.72 7186.89 114579 0.000577701 -0.92132 1880.54 1647.72
45500 -838446 370.825 -838075 1391.1 -838076 -1389.79 -1391.1 32080.1 -1.93268e+07 -32049.7 -32080.1 1658.28 7744.29 114322 0.000577701 -1.10764 1918.85 1658.28
45600 -838451 373.399 -838077 1391.76 -838080 -1389.59 -1391.76 32095.3 -1.93269e+07 -32045.2 -32095.3 1669.79 7001.06 114462 0.000577701 -0.668301 1924.66 1669.79
