# Time-averaged data for fix proton_water
# TimeStep c_count_H_water c_count_O_carbonate c_avg_H_strong c_avg_H_mobile
43900 1.5 2 0.755556 1.78056
44000 6.4 2 0.734028 1.78403
44100 4 2 0.732639 1.78542
44200 2.1 2 0.702083 1.77778
44300 3 2 0.765278 1.76111
44400 3.6 2 0.728472 1.79306
44500 3.6 2 0.715972 1.82292
44600 3 2 0.714583 1.76944
44700 4.1 2 0.695833 1.77847
44800 4.8 2 0.713194 1.77986
44900 5.3 2 0.695139 1.76111
45000 6 2 0.69375 1.73403
45100 4.2 2 0.711806 1.74444
45200 1.7 2 0.711111 1.75764
45300 2.4 2 0.695833 1.82153
45400 6.2 2 0.706944 1.78542
45500 3.3 2 0.688889 1.79236
45600 5.3 2 0.710417 1.77569
45700 2.8 2 0.698611 1.81667
45800 3.4 2 0.717361 1.77361
45900 1.2 2 0.709722 1.76042
46000 4.3 2 0.711111 1.76597
46100 5.4 2 0.739583 1.70417
46200 4.9 2 0.715972 1.73056
46300 6.9 2 0.697222 1.7625
46400 4.8 2 0.734028 1.77222
46500 6 2 0.7125 1.70208
46600 5.1 2 0.697222 1.74167
46700 4.4 2 0.726389 1.74306
46800 6.9 2 0.720833 1.75833
46900 5.8 2 0.725 1.74583
47000 4.3 2 0.698611 1.77431
47100 6 2 0.713889 1.73472
47200 5.1 2 0.688889 1.71736
47300 6.5 2 0.699306 1.74306
47400 5 2 0.701389 1.72153
47500 6.1 2 0.728472 1.74583
47600 2.8 2 0.702778 1.71667
47700 7 2 0.734722 1.71528
47800 6 2 0.736111 1.78403
47900 4.5 2 0.720139 1.72778
48000 6 2 0.722222 1.73194
48100 4.6 2 0.707639 1.70556
48200 4.5 2 0.718056 1.72431
48300 5.5 2 0.725 1.69861
48400 4.6 2 0.714583 1.73403
48500 6 2 0.706944 1.78403
48600 6.5 2 0.7125 1.72361
48700 5.6 2 0.690972 1.73125
48800 4 2 0.700694 1.72153
48900 5.6 2 0.69375 1.70139
49000 6.7 2 0.691667 1.69514
49100 5.2 2 0.701389 1.70694
49200 6 2 0.73125 1.72014
49300 5 2 0.7 1.72083
49400 4.7 2 0.675 1.79236
49500 5.5 2 0.691667 1.73611
49600 5.7 2 0.681944 1.71875
49700 4.6 2 0.720139 1.68125
49800 4.9 2 0.702778 1.71042
49900 5 2 0.694444 1.68125
50000 7 2 0.709722 1.69861
50100 6.8 2 0.660417 1.75417
50200 6 2 0.683333 1.70347
50300 6.5 2 0.688889 1.71667
50400 3 2 0.671528 1.75417
50500 5.4 2 0.711806 1.69097
50600 4.8 2 0.693056 1.69722
50700 6.2 2 0.694444 1.69722
50800 6 2 0.715278 1.65764
50900 6.7 2 0.714583 1.69375
51000 5 2 0.740278 1.725
51100 5 2 0.704167 1.73542
51200 6.9 2 0.702083 1.70278
51300 5 2 0.695139 1.73819
51400 5.8 2 0.715278 1.70625
51500 4.1 2 0.679167 1.71667
51600 5 2 0.688889 1.67778
51700 6 2 0.729861 1.69097
51800 5 2 0.708333 1.73403
51900 5 2 0.695833 1.76667
52000 5.8 2 0.713194 1.75417
52100 3.3 2 0.688194 1.75
52200 4.4 2 0.696528 1.75556
52300 6 2 0.693056 1.75625
52400 7 2 0.749306 1.80139
52500 5 2 0.709722 1.76458
52600 4.5 2 0.693056 1.74514
52700 4.1 2 0.689583 1.70208
52800 4 2 0.713889 1.65347
52900 4 2 0.668056 1.67917
53000 4.3 2 0.697222 1.65
53100 5.4 2 0.697222 1.6625
53200 6 2 0.7125 1.66875
53300 6 2 0.722222 1.67847
53400 6.4 2 0.713194 1.675
53500 5.4 2 0.711111 1.72222
53600 5.5 2 0.700694 1.69583
53700 8 2 0.679861 1.70278
53800 5.7 2 0.663889 1.69861
53900 7.8 2 0.696528 1.69583
54000 7.2 2 0.696528 1.65833
54100 7.8 2 0.688889 1.62708
54200 6 1 0.692361 1.68056
54300 7 1 0.700694 1.70208
54400 5 1 0.695139 1.7
54500 8.9 1 0.679861 1.69583
54600 5 1 0.689583 1.68958
54700 7.2 1 0.705556 1.64097
54800 7.8 1 0.720833 1.65278
54900 7.3 1 0.697222 1.63125
55000 6.5 1 0.697917 1.64514
55100 5.8 1 0.679861 1.65556
55200 5.2 1 0.667361 1.63403
55300 3 1 0.669444 1.68264
55400 5 0 0.667361 1.71042
55500 5.7 0 0.677083 1.65069
55600 5.6 1 0.665972 1.63125
55700 5 1 0.666667 1.65347
55800 4.8 1 0.685417 1.62083
55900 4 1 0.667361 1.64583
56000 6 1 0.684028 1.65069
56100 4.2 1 0.670833 1.64097
56200 3 1 0.6625 1.62222
56300 2.5 1 0.690278 1.62569
56400 4.8 1 0.675694 1.64931
56500 5.9 1 0.668056 1.62917
56600 4 1 0.670139 1.60208
56700 4 0 0.6875 1.59583
56800 4 0 0.674306 1.61458
56900 4.7 0 0.663889 1.60694
57000 5 0 0.647222 1.62292
57100 3.7 0 0.682639 1.64375
57200 4 0 0.666667 1.62639
57300 5.5 0 0.682639 1.63472
57400 4 0 0.668056 1.60347
57500 4 0 0.709722 1.62778
57600 3.1 0 0.664583 1.63056
57700 4.6 0 0.677083 1.61875
57800 4.1 0 0.697222 1.64236
57900 5 0 0.676389 1.61667
58000 3 0 0.657639 1.61597
58100 4.8 0 0.673611 1.63889
58200 3.5 0 0.686111 1.61806
58300 6 0 0.644444 1.65417
58400 5.6 0 0.659028 1.60069
58500 3 0 0.648611 1.625
58600 1.3 0 0.657639 1.59861
58700 4 0 0.644444 1.62361
58800 3.2 0 0.6625 1.63542
58900 5.4 0 0.652778 1.68125
59000 3.3 0 0.659722 1.60764
59100 6.4 0 0.627778 1.62014
59200 3.6 0 0.63125 1.63264
59300 1 0 0.675694 1.64097
59400 3 0 0.66875 1.62708
59500 3.9 0 0.629861 1.64931
59600 1.9 0 0.647917 1.61111
59700 3.4 0 0.640278 1.64514
59800 2.6 0 0.636111 1.62639
59900 2.3 0 0.645833 1.62917
60000 1 0 0.63125 1.58472
60100 3.3 0 0.616667 1.62847
60200 2 0 0.647917 1.61319
60300 3.7 0 0.641667 1.61597
60400 4.4 0 0.649306 1.63194
60500 1 0 0.651389 1.61667
60600 3.4 0 0.647222 1.62014
60700 2.6 0 0.623611 1.61389
60800 2 0 0.624306 1.59653
60900 3 0 0.631944 1.59028
61000 3 0 0.630556 1.59861
61100 4 0 0.642361 1.59236
61200 1.8 0 0.625 1.59028
61300 3.3 0 0.623611 1.60903
61400 4.6 0 0.627778 1.61667
61500 3.6 0 0.638889 1.60417
61600 3.2 0 0.603472 1.6
61700 2.6 0 0.625 1.63264
61800 3.9 0 0.604167 1.59861
61900 2.1 0 0.604167 1.58125
62000 2 0 0.60625 1.59097
62100 3 0 0.59375 1.55625
62200 3 0 0.601389 1.54236
62300 3.5 0 0.625 1.54861
62400 3.1 0 0.601389 1.59097
62500 4 0 0.594444 1.58472
62600 2.4 0 0.563889 1.55833
62700 3.3 0 0.627778 1.55208
62800 2.6 0 0.624306 1.56042
62900 3.1 0 0.586111 1.53194
63000 3 0 0.613194 1.53264
63100 1.4 0 0.605556 1.55972
63200 1 0 0.579167 1.58403
63300 2 0 0.604861 1.56111
63400 1 0 0.597222 1.56944
63500 1 0 0.607639 1.56389
63600 2 0 0.611111 1.58125
63700 2 0 0.584028 1.55556
63800 1 0 0.613889 1.58611
63900 3 0 0.604167 1.61042
64000 1 0 0.599306 1.54583
64100 3 0 0.625 1.55625
64200 2.8 0 0.617361 1.55347
64300 1 0 0.604861 1.56042
64400 1 0 0.599306 1.55764
64500 1 0 0.605556 1.53194
64600 1 0 0.579167 1.54514
64700 2 0 0.621528 1.55417
64800 1.5 0 0.616667 1.57917
