# Time-averaged data for fix rdf_CaO_save
# TimeStep Number-of-rows
# Row c_rdf_CaO[1] c_rdf_CaO[2] c_rdf_CaO[3]
44000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0.010494 0.000138889
25 1.47 0.0289655 0.000555556
26 1.53 0.0178266 0.000833333
27 1.59 0.0165068 0.00111111
28 1.65 0.536784 0.0108333
29 1.71 0.806721 0.0265278
30 1.77 0.732974 0.0418056
31 1.83 1.68928 0.0794444
32 1.89 1.71231 0.120139
33 1.95 3.09644 0.198472
34 2.01 5.09477 0.335417
35 2.07 5.98787 0.506111
36 2.13 7.44049 0.730694
37 2.19 8.95793 1.01653
38 2.25 9.48032 1.33583
39 2.31 9.88258 1.68667
40 2.37 10.4328 2.07653
41 2.43 10.0091 2.46972
42 2.49 8.63004 2.82569
43 2.55 6.89613 3.12403
44 2.61 6.44503 3.41611
45 2.67 5.75134 3.68889
46 2.73 5.54371 3.96375
47 2.79 4.81668 4.21319
48 2.85 4.03534 4.43125
49 2.91 3.38 4.62167
50 2.97 2.86857 4.79
51 3.03 2.3944 4.93625
52 3.09 2.12091 5.07097
53 3.15 2.31435 5.22375
54 3.21 2.5489 5.39847
55 3.27 2.29021 5.56139
56 3.33 1.94857 5.70514
57 3.39 1.81307 5.84375
58 3.45 1.82934 5.98861
59 3.51 1.74545 6.13167
60 3.57 2.06232 6.30653
61 3.63 2.12785 6.49306
62 3.69 2.20487 6.69278
63 3.75 2.78512 6.95333
64 3.81 2.95838 7.23903
65 3.87 3.58104 7.59583
66 3.93 3.39962 7.94514
67 3.99 3.55119 8.32125
68 4.05 3.37804 8.68986
69 4.11 3.69163 9.10472
70 4.17 3.82644 9.54736
71 4.23 2.9321 9.89639
72 4.29 3.00722 10.2646
73 4.35 3.1941 10.6667
74 4.41 3.52536 11.1228
75 4.47 3.33727 11.5664
76 4.53 3.28716 12.0151
77 4.59 3.07189 12.4457
78 4.65 2.94104 12.8688
79 4.71 3.18182 13.3383
80 4.77 3.29958 13.8378
81 4.83 3.22889 14.3389
82 4.89 2.61404 14.7547
83 4.95 2.76577 15.2056
84 5.01 2.41955 15.6096
85 5.07 2.37571 16.0158
86 5.13 2.26408 16.4122
87 5.19 2.16943 16.801
88 5.25 2.24506 17.2126
89 5.31 2.63527 17.7069
90 5.37 2.71563 18.2279
91 5.43 2.37773 18.6943
92 5.49 2.5421 19.204
93 5.55 3.08871 19.8369
94 5.61 2.79799 20.4228
95 5.67 2.9639 21.0567
96 5.73 2.90909 21.6921
97 5.79 2.82356 22.3218
98 5.85 2.60064 22.9139
99 5.91 2.79018 23.5622
100 5.97 2.60205 24.1792
44100 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0.0247721 0.000416667
28 1.65 0.421124 0.00805556
29 1.71 0.563054 0.0190278
30 1.77 0.918366 0.0381944
31 1.83 1.973 0.0822222
32 1.89 2.2817 0.136528
33 1.95 2.94377 0.211111
34 2.01 4.06074 0.320417
35 2.07 6.27057 0.499444
36 2.13 7.47072 0.725278
37 2.19 8.40565 0.993889
38 2.25 9.56078 1.31639
39 2.31 9.31688 1.64764
40 2.37 11.4977 2.07792
41 2.43 10.241 2.48083
42 2.49 8.68768 2.83972
43 2.55 6.41488 3.11764
44 2.61 5.73757 3.37806
45 2.67 5.95051 3.66069
