# Fix print output for fix temp_monitor
Mobile temp: 2156.0538928390328692 K (Target: 973K)
Mobile temp: 2143.1300504116566117 K (Target: 973K)
Mobile temp: 2183.2228961731188974 K (Target: 973K)
Mobile temp: 2146.7173607398262902 K (Target: 973K)
Mobile temp: 2013.5355744455625882 K (Target: 973K)
Mobile temp: 1981.349915233306092 K (Target: 973K)
Mobile temp: 2024.4708491473425056 K (Target: 973K)
Mobile temp: 2060.1734323164591842 K (Target: 973K)
Mobile temp: 2093.781361727365038 K (Target: 973K)
Mobile temp: 2044.7061598254847468 K (Target: 973K)
Mobile temp: 1988.954229716269765 K (Target: 973K)
Mobile temp: 2005.083058416854783 K (Target: 973K)
Mobile temp: 1960.3276086060627676 K (Target: 973K)
Mobile temp: 1968.7018047918427328 K (Target: 973K)
Mobile temp: 2026.5811889835799775 K (Target: 973K)
Mobile temp: 2029.5409629149492048 K (Target: 973K)
Mobile temp: 2055.7871677671123507 K (Target: 973K)
Mobile temp: 2009.8133944649030127 K (Target: 973K)
Mobile temp: 2003.0277384423279727 K (Target: 973K)
Mobile temp: 2052.2098814675459835 K (Target: 973K)
Mobile temp: 2040.6057094981449609 K (Target: 973K)
Mobile temp: 2022.5348926231315545 K (Target: 973K)
Mobile temp: 2072.455261317635177 K (Target: 973K)
Mobile temp: 2149.6911018620107825 K (Target: 973K)
Mobile temp: 2097.6897391647485165 K (Target: 973K)
Mobile temp: 1975.6958155696906942 K (Target: 973K)
Mobile temp: 1981.7856526126161043 K (Target: 973K)
Mobile temp: 2042.1263078018039323 K (Target: 973K)
Mobile temp: 1997.2923585192088467 K (Target: 973K)
Mobile temp: 1983.4182163891330219 K (Target: 973K)
Mobile temp: 2034.2737597588322842 K (Target: 973K)
Mobile temp: 2090.0772087418285992 K (Target: 973K)
Mobile temp: 2124.0572651124170989 K (Target: 973K)
Mobile temp: 2047.5953453382435328 K (Target: 973K)
Mobile temp: 1997.8165905595399181 K (Target: 973K)
Mobile temp: 2009.0864778086056504 K (Target: 973K)
Mobile temp: 2032.9565471065395741 K (Target: 973K)
Mobile temp: 2112.1900569810368324 K (Target: 973K)
Mobile temp: 2050.8327794218448616 K (Target: 973K)
Mobile temp: 2042.4377284947452154 K (Target: 973K)
Mobile temp: 2103.2241773500923046 K (Target: 973K)
Mobile temp: 2068.5727087732698237 K (Target: 973K)
Mobile temp: 2012.7959520627741767 K (Target: 973K)
Mobile temp: 1914.0791418138082918 K (Target: 973K)
Mobile temp: 1930.8832526626740673 K (Target: 973K)
Mobile temp: 1902.9015088585613285 K (Target: 973K)
Mobile temp: 1868.6015797761342583 K (Target: 973K)
Mobile temp: 1956.1125515538178661 K (Target: 973K)
Mobile temp: 1960.8466725975815734 K (Target: 973K)
Mobile temp: 1948.9623126079031863 K (Target: 973K)
Mobile temp: 1959.9587634785063983 K (Target: 973K)
Mobile temp: 1944.3935624870712218 K (Target: 973K)
Mobile temp: 1888.3538574248693749 K (Target: 973K)
Mobile temp: 1941.7160534678212116 K (Target: 973K)
Mobile temp: 1938.2460810742963986 K (Target: 973K)
Mobile temp: 2072.5306626940923707 K (Target: 973K)
Mobile temp: 1947.1887970627353752 K (Target: 973K)
Mobile temp: 1913.2383263536157756 K (Target: 973K)
Mobile temp: 1985.6667894928586975 K (Target: 973K)
Mobile temp: 1966.2236595450710865 K (Target: 973K)
Mobile temp: 2010.67678222309587 K (Target: 973K)
Mobile temp: 2007.3719171550096689 K (Target: 973K)
Mobile temp: 2017.7069669979375703 K (Target: 973K)
Mobile temp: 2021.6111969017613319 K (Target: 973K)
Mobile temp: 2005.9834806826625027 K (Target: 973K)
Mobile temp: 2010.031604999361889 K (Target: 973K)
Mobile temp: 2018.0222965873288103 K (Target: 973K)
Mobile temp: 1954.0395899402001305 K (Target: 973K)
Mobile temp: 1943.2428345500043179 K (Target: 973K)
Mobile temp: 1960.8152943902198331 K (Target: 973K)
Mobile temp: 2001.1894002833510058 K (Target: 973K)
Mobile temp: 2090.0301083987442325 K (Target: 973K)
Mobile temp: 2091.7639857432459394 K (Target: 973K)
Mobile temp: 2003.6389618823548062 K (Target: 973K)
Mobile temp: 1964.7178522544986663 K (Target: 973K)
Mobile temp: 2035.320701496360698 K (Target: 973K)
Mobile temp: 2057.5721999866173064 K (Target: 973K)
Mobile temp: 2021.449998153657134 K (Target: 973K)
Mobile temp: 2098.3160402637627158 K (Target: 973K)
Mobile temp: 2079.7643301839716514 K (Target: 973K)
Mobile temp: 2061.6895758793466484 K (Target: 973K)
Mobile temp: 1915.8633961411967448 K (Target: 973K)
Mobile temp: 1911.7872877107979548 K (Target: 973K)
Mobile temp: 2003.8268499980231354 K (Target: 973K)
Mobile temp: 2029.5399564516567352 K (Target: 973K)
Mobile temp: 1968.1517675373181646 K (Target: 973K)
Mobile temp: 1986.6137531856932128 K (Target: 973K)
Mobile temp: 2028.8277048754441694 K (Target: 973K)
Mobile temp: 2090.6932551904619686 K (Target: 973K)
