citation_key,reference_status,title,authors,year,venue,doi,doi_status,publisher_url,metadata_source_url,verified_by,verified_at,notes
qomi2022mineralization,verified,"Molecular-scale mechanisms of CO2 mineralization in nanoscale interfacial water films","Abdolhosseini Qomi, M. J. | Miller, Q. R. S. | Zare, S. | Schaef, H. T. | Kaszuba, J. P. | Rosso, K. M.",2022,Nature Reviews Chemistry,10.1038/s41570-022-00418-1,verified,https://www.nature.com/articles/s41570-022-00418-1,https://api.crossref.org/works/10.1038%2Fs41570-022-00418-1,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref metadata and the Nature publisher page/DOI resolution; bibliographic metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific evidence remains pending."
zeni2025mattergen,verified,A generative model for inorganic materials design,"Zeni, Claudio | Pinsler, Robert | Zügner, Daniel | Fowler, Andrew | Horton, Matthew | Fu, Xiang | Wang, Zilong | Shysheya, Aliaksandra | Crabbé, Jonathan | Ueda, Shoko | Sordillo, Roberto | Sun, Lixin | Smith, Jake | Nguyen, Bichlien | Schulz, Hannes | Lewis, Sarah | Huang, Chin-Wei | Lu, Ziheng | Zhou, Yichi | Yang, Han | Hao, Hongxia | Li, Jielan | Yang, Chunlei | Li, Wenjie | Tomioka, Ryota | Xie, Tian",2025,Nature,10.1038/s41586-025-08628-5,verified,https://www.nature.com/articles/s41586-025-08628-5,https://api.crossref.org/works/10.1038%2Fs41586-025-08628-5,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref and Nature citation metadata; the full 26-author list replaces the Phase-1 'others' placeholder. Bibliographic metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific evidence remains pending."
batatia2022mace,verified,"MACE: Higher Order Equivariant Message Passing Neural Networks for Fast and Accurate Force Fields","Batatia, Ilyes | Kovacs, David P | Simm, Gregor | Ortner, Christoph | Csanyi, Gabor",2022,Advances in Neural Information Processing Systems 35,10.52202/068431-0830,verified,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4a36c3c51af11ed9f34615b81edb5bbc-Abstract-Conference.html,https://api.crossref.org/works/10.52202%2F068431-0830,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref and the official NeurIPS proceedings page; DOI 10.52202/068431-0830 was absent from the Phase-1 seed and is now recorded. Bibliographic metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific evidence remains pending."
zhang2018deep,verified,"Deep Potential Molecular Dynamics: A Scalable Model with the Accuracy of Quantum Mechanics","Zhang, Linfeng | Han, Jiequn | Wang, Han | Car, Roberto | E, Weinan",2018,Physical Review Letters,10.1103/PhysRevLett.120.143001,verified,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.120.143001,https://api.crossref.org/works/10.1103%2FPhysRevLett.120.143001,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref and the APS article/citation page; bibliographic metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific evidence remains pending."
kuhne2020cp2k,verified,"CP2K: An electronic structure and molecular dynamics software package - Quickstep: Efficient and accurate electronic structure calculations","Kühne, Thomas D. | Iannuzzi, Marcella | Del Ben, Mauro | Rybkin, Vladimir V. | Seewald, Patrick | Stein, Frederick | Laino, Teodoro | Khaliullin, Rustam Z. | Schütt, Ole | Schiffmann, Florian | Golze, Dorothea | Wilhelm, Jan | Chulkov, Sergey | Bani-Hashemian, Mohammad Hossein | Weber, Valéry | Borštnik, Urban | Taillefumier, Mathieu | Jakobovits, Alice Shoshana | Lazzaro, Alfio | Pabst, Hans | Müller, Tiziano | Schade, Robert | Guidon, Manuel | Andermatt, Samuel | Holmberg, Nico | Schenter, Gregory K. | Hehn, Anna | Bussy, Augustin | Belleflamme, Fabian | Tabacchi, Gloria | Glöß, Andreas | Lass, Michael | Bethune, Iain | Mundy, Christopher J. | Plessl, Christian | Watkins, Matt | VandeVondele, Joost | Krack, Matthias | Hutter, Jürg",2020,The Journal of Chemical Physics,10.1063/5.0007045,verified,https://pubs.aip.org/jcp/article/152/19/194103/199081/CP2K-An-electronic-structure-and-molecular,https://api.crossref.org/works/10.1063%2F5.0007045,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref and DOI resolution to the AIP publisher page; the full 39-author list replaces the Phase-1 'others' placeholder. Bibliographic metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific evidence remains pending."
ong2013pymatgen,verified,"Python Materials Genomics (pymatgen): A robust, open-source python library for materials analysis","Ong, Shyue Ping | Richards, William Davidson | Jain, Anubhav | Hautier, Geoffroy | Kocher, Michael | Cholia, Shreyas | Gunter, Dan | Chevrier, Vincent L. | Persson, Kristin A. | Ceder, Gerbrand",2013,Computational Materials Science,10.1016/j.commatsci.2012.10.028,verified,https://linkinghub.elsevier.com/retrieve/pii/S0927025612006295,https://api.crossref.org/works/10.1016%2Fj.commatsci.2012.10.028,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref and DOI resolution to Elsevier; bibliographic metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific support for surface construction remains pending."
plimpton1995lammps,verified,Fast Parallel Algorithms for Short-Range Molecular Dynamics,"Plimpton, Steve",1995,Journal of Computational Physics,10.1006/jcph.1995.1039,verified,https://linkinghub.elsevier.com/retrieve/pii/S002199918571039X,https://api.crossref.org/works/10.1006%2Fjcph.1995.1039,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref and DOI resolution to Elsevier; bibliographic metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific evidence remains pending."
bonomi2019plumed,verified,Promoting transparency and reproducibility in enhanced molecular simulations,The PLUMED consortium,2019,Nature Methods,10.1038/s41592-019-0506-8,verified,https://www.nature.com/articles/s41592-019-0506-8,https://api.crossref.org/works/10.1038%2Fs41592-019-0506-8,Shawn Zhang,2026-09-04,"Machine-checked 2026-09-03 against Crossref and the Nature publisher page; bibliographic creator representation and remaining metadata explicitly confirmed by Shawn Zhang on 2026-09-04. Claim-specific evidence remains pending."
astala2008hapwater,candidate,First-principles study of hydroxyapatite surfaces and water adsorption,"Astala, R. | Stott, M. J.",2008,Physical Review B,10.1103/PhysRevB.78.075427,pending,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.78.075427,,,,"Discovered 2026-09-03 for outline gap G01 (HAP facets, terminations, and hydration). Primary first-principles study selected for direct topical fit; full bibliographic cross-check and full-text claim review pending."
corno2009water,candidate,"Water Adsorption on the Stoichiometric (001) and (010) Surfaces of Hydroxyapatite: A Periodic B3LYP Study","Corno, Marta | Busco, Claudia | Bolis, Vera | Tosoni, Sergio | Ugliengo, Piero",2009,Langmuir,10.1021/la803253k,pending,https://pubs.acs.org/doi/10.1021/la803253k,,,,"Discovered 2026-09-03 for outline gap G01. Primary periodic-DFT study selected for direct facet/water scope; full bibliographic cross-check and full-text claim review pending."
